1784822758.324106 server started (54747): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1784822758.324121 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1784822758.324123 using libevent 2.1.12-stable poll
1784822758.324124 using ncurses 6.4 20240113
1784822758.333004 cmd_parse_build_commands 0:2: ?
1784822758.333006 cmd_parse_build_commands 0:3 0:0: command-prompt
1784822758.333007 cmd_parse_build_commands 0:3 0:1: -T
1784822758.333007 cmd_parse_build_commands 0:3 0:2: search
1784822758.333008 cmd_parse_build_commands 0:3 0:3: -p(search up)
1784822758.333008 cmd_parse_build_commands 0:3 0:4 0:0: send
1784822758.333009 cmd_parse_build_commands 0:3 0:4 0:1: -X
1784822758.333010 cmd_parse_build_commands 0:3 0:4 0:2: search-backward
1784822758.333010 cmd_parse_build_commands 0:3 0:4 0:3: %%
1784822758.333011 cmd_parse_build_commands 0:0: command-prompt
1784822758.333012 cmd_parse_build_commands 0:1: -T
1784822758.333012 cmd_parse_build_commands 0:2: search
1784822758.333013 cmd_parse_build_commands 0:3: -p(search up)
1784822758.333013 cmd_parse_build_commands 0:4 0:0: send
1784822758.333014 cmd_parse_build_commands 0:4 0:1: -X
1784822758.333015 cmd_parse_build_commands 0:4 0:2: search-backward
1784822758.333015 cmd_parse_build_commands 0:4 0:3: %%
1784822758.333016 cmd_parse_build_commands 0:0: send
1784822758.333017 cmd_parse_build_commands 0:1: -X
1784822758.333017 cmd_parse_build_commands 0:2: search-backward
1784822758.333018 cmd_parse_build_commands 0:3: %%
1784822758.333019 args_parse_flags: next -X
1784822758.333019 args_parse_flags: -X
1784822758.333020 args_parse_flags: next search-backward
1784822758.333020 args_parse: flags end at 2 of 4
1784822758.333021 args_parse: 2 = search-backward (type STRING)
1784822758.333022 args_parse: 3 = %% (type STRING)
1784822758.333024 cmd_parse_build_commands: send-keys -X search-backward "%%"
1784822758.333024 args_parse_flags: next -T
1784822758.333025 args_parse_flag_argument: -T = search
1784822758.333025 args_parse_flags: next -p(search up)
1784822758.333026 args_parse_flag_argument: -p = (search up)
1784822758.333026 args_parse: flags end at 4 of 5
1784822758.333028 args_parse: 4 = send-keys -X search-backward "%%" (type COMMANDS)
1784822758.333030 cmd_parse_build_commands: command-prompt -T search -p "(search up)" { send-keys -X search-backward "%%" }
1784822758.333031 args_parse_flags: next -Tcopy-mode-vi
1784822758.333032 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333032 args_parse_flags: next ?
1784822758.333033 args_parse: flags end at 2 of 4
1784822758.333033 args_parse: 2 = ? (type STRING)
1784822758.333035 args_parse: 3 = command-prompt -T search -p "(search up)" { send-keys -X search-backward "%%" } (type COMMANDS)
1784822758.333038 cmd_parse_build_commands: bind-key -T copy-mode-vi ? { command-prompt -T search -p "(search up)" { send-keys -X search-backward "%%" } }
1784822758.333039 cmdq_get_command: [bind-key/0x5ec0755f6160] group 2220
1784822758.333040 cmdq_append <global>: [bind-key/0x5ec0755f6160]
1784822758.333041 yylex_token: end at WS
1784822758.333041 yylex_token: bind
1784822758.333042 yylex_token: end at WS
1784822758.333042 yylex_token: -Tcopy-mode-vi
1784822758.333043 yylex_token: end at WS
1784822758.333043 yylex_token: A
1784822758.333044 yylex_token: end at WS
1784822758.333045 yylex_token: send
1784822758.333045 yylex_token: end at WS
1784822758.333046 yylex_token: -X
1784822758.333046 yylex_token: end at WS
1784822758.333047 yylex_token: append-selection-and-cancel
1784822758.333048 cmd_parse_build_commands 0:0: bind
1784822758.333049 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333049 cmd_parse_build_commands 0:2: A
1784822758.333050 cmd_parse_build_commands 0:3 0:0: send
1784822758.333050 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333051 cmd_parse_build_commands 0:3 0:2: append-selection-and-cancel
1784822758.333052 cmd_parse_build_commands 0:0: send
1784822758.333053 cmd_parse_build_commands 0:1: -X
1784822758.333053 cmd_parse_build_commands 0:2: append-selection-and-cancel
1784822758.333054 args_parse_flags: next -X
1784822758.333055 args_parse_flags: -X
1784822758.333055 args_parse_flags: next append-selection-and-cancel
1784822758.333056 args_parse: flags end at 2 of 3
1784822758.333057 args_parse: 2 = append-selection-and-cancel (type STRING)
1784822758.333058 cmd_parse_build_commands: send-keys -X append-selection-and-cancel
1784822758.333060 args_parse_flags: next -Tcopy-mode-vi
1784822758.333061 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333061 args_parse_flags: next A
1784822758.333062 args_parse: flags end at 2 of 4
1784822758.333063 args_parse: 2 = A (type STRING)
1784822758.333064 args_parse: 3 = send-keys -X append-selection-and-cancel (type COMMANDS)
1784822758.333066 cmd_parse_build_commands: bind-key -T copy-mode-vi A { send-keys -X append-selection-and-cancel }
1784822758.333067 cmdq_get_command: [bind-key/0x5ec0755f54a0] group 2232
1784822758.333067 cmdq_append <global>: [bind-key/0x5ec0755f54a0]
1784822758.333068 yylex_token: end at WS
1784822758.333069 yylex_token: bind
1784822758.333069 yylex_token: end at WS
1784822758.333070 yylex_token: -Tcopy-mode-vi
1784822758.333071 yylex_token: end at WS
1784822758.333071 yylex_token: B
1784822758.333072 yylex_token: end at WS
1784822758.333072 yylex_token: send
1784822758.333073 yylex_token: end at WS
1784822758.333073 yylex_token: -X
1784822758.333074 yylex_token: end at WS
1784822758.333074 yylex_token: previous-space
1784822758.333075 cmd_parse_build_commands 0:0: bind
1784822758.333076 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333076 cmd_parse_build_commands 0:2: B
1784822758.333077 cmd_parse_build_commands 0:3 0:0: send
1784822758.333078 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333078 cmd_parse_build_commands 0:3 0:2: previous-space
1784822758.333079 cmd_parse_build_commands 0:0: send
1784822758.333080 cmd_parse_build_commands 0:1: -X
1784822758.333080 cmd_parse_build_commands 0:2: previous-space
1784822758.333081 args_parse_flags: next -X
1784822758.333082 args_parse_flags: -X
1784822758.333082 args_parse_flags: next previous-space
1784822758.333083 args_parse: flags end at 2 of 3
1784822758.333083 args_parse: 2 = previous-space (type STRING)
1784822758.333085 cmd_parse_build_commands: send-keys -X previous-space
1784822758.333085 args_parse_flags: next -Tcopy-mode-vi
1784822758.333086 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333086 args_parse_flags: next B
1784822758.333087 args_parse: flags end at 2 of 4
1784822758.333087 args_parse: 2 = B (type STRING)
1784822758.333089 args_parse: 3 = send-keys -X previous-space (type COMMANDS)
1784822758.333091 cmd_parse_build_commands: bind-key -T copy-mode-vi B { send-keys -X previous-space }
1784822758.333092 cmdq_get_command: [bind-key/0x5ec0755f5fe0] group 2240
1784822758.333092 cmdq_append <global>: [bind-key/0x5ec0755f5fe0]
1784822758.333094 yylex_token: end at WS
1784822758.333094 yylex_token: bind
1784822758.333095 yylex_token: end at WS
1784822758.333095 yylex_token: -Tcopy-mode-vi
1784822758.333096 yylex_token: end at WS
1784822758.333096 yylex_token: D
1784822758.333097 yylex_token: end at WS
1784822758.333097 yylex_token: send
1784822758.333098 yylex_token: end at WS
1784822758.333098 yylex_token: -X
1784822758.333099 yylex_token: end at WS
1784822758.333100 yylex_token: copy-pipe-end-of-line-and-cancel
1784822758.333101 cmd_parse_build_commands 0:0: bind
1784822758.333101 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333102 cmd_parse_build_commands 0:2: D
1784822758.333102 cmd_parse_build_commands 0:3 0:0: send
1784822758.333103 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333104 cmd_parse_build_commands 0:3 0:2: copy-pipe-end-of-line-and-cancel
1784822758.333105 cmd_parse_build_commands 0:0: send
1784822758.333105 cmd_parse_build_commands 0:1: -X
1784822758.333106 cmd_parse_build_commands 0:2: copy-pipe-end-of-line-and-cancel
1784822758.333107 args_parse_flags: next -X
1784822758.333107 args_parse_flags: -X
1784822758.333108 args_parse_flags: next copy-pipe-end-of-line-and-cancel
1784822758.333109 args_parse: flags end at 2 of 3
1784822758.333109 args_parse: 2 = copy-pipe-end-of-line-and-cancel (type STRING)
1784822758.333111 cmd_parse_build_commands: send-keys -X copy-pipe-end-of-line-and-cancel
1784822758.333112 args_parse_flags: next -Tcopy-mode-vi
1784822758.333112 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333114 args_parse_flags: next D
1784822758.333114 args_parse: flags end at 2 of 4
1784822758.333115 args_parse: 2 = D (type STRING)
1784822758.333116 args_parse: 3 = send-keys -X copy-pipe-end-of-line-and-cancel (type COMMANDS)
1784822758.333119 cmd_parse_build_commands: bind-key -T copy-mode-vi D { send-keys -X copy-pipe-end-of-line-and-cancel }
1784822758.333120 cmdq_get_command: [bind-key/0x5ec0755f52f0] group 2248
1784822758.333120 cmdq_append <global>: [bind-key/0x5ec0755f52f0]
1784822758.333121 yylex_token: end at WS
1784822758.333121 yylex_token: bind
1784822758.333122 yylex_token: end at WS
1784822758.333123 yylex_token: -Tcopy-mode-vi
1784822758.333123 yylex_token: end at WS
1784822758.333124 yylex_token: E
1784822758.333124 yylex_token: end at WS
1784822758.333125 yylex_token: send
1784822758.333125 yylex_token: end at WS
1784822758.333126 yylex_token: -X
1784822758.333126 yylex_token: end at WS
1784822758.333127 yylex_token: next-space-end
1784822758.333128 cmd_parse_build_commands 0:0: bind
1784822758.333128 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333129 cmd_parse_build_commands 0:2: E
1784822758.333130 cmd_parse_build_commands 0:3 0:0: send
1784822758.333130 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333131 cmd_parse_build_commands 0:3 0:2: next-space-end
1784822758.333132 cmd_parse_build_commands 0:0: send
1784822758.333132 cmd_parse_build_commands 0:1: -X
1784822758.333133 cmd_parse_build_commands 0:2: next-space-end
1784822758.333134 args_parse_flags: next -X
1784822758.333134 args_parse_flags: -X
1784822758.333135 args_parse_flags: next next-space-end
1784822758.333136 args_parse: flags end at 2 of 3
1784822758.333136 args_parse: 2 = next-space-end (type STRING)
1784822758.333137 cmd_parse_build_commands: send-keys -X next-space-end
1784822758.333138 args_parse_flags: next -Tcopy-mode-vi
1784822758.333139 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333139 args_parse_flags: next E
1784822758.333140 args_parse: flags end at 2 of 4
1784822758.333140 args_parse: 2 = E (type STRING)
1784822758.333141 args_parse: 3 = send-keys -X next-space-end (type COMMANDS)
1784822758.333143 cmd_parse_build_commands: bind-key -T copy-mode-vi E { send-keys -X next-space-end }
1784822758.333144 cmdq_get_command: [bind-key/0x5ec0755f6850] group 2256
1784822758.333144 cmdq_append <global>: [bind-key/0x5ec0755f6850]
1784822758.333145 yylex_token: end at WS
1784822758.333146 yylex_token: bind
1784822758.333147 yylex_token: end at WS
1784822758.333147 yylex_token: -Tcopy-mode-vi
1784822758.333148 yylex_token: end at WS
1784822758.333148 yylex_token: F
1784822758.333149 yylex_token: end at WS
1784822758.333149 yylex_token: command-prompt
1784822758.333150 yylex_token: end at WS
1784822758.333150 yylex_token: -1p(jump backward)
1784822758.333151 yylex_token: end at WS
1784822758.333151 yylex_token: send
1784822758.333152 yylex_token: end at WS
1784822758.333153 yylex_token: -X
1784822758.333153 yylex_token: end at WS
1784822758.333154 yylex_token: jump-backward
1784822758.333154 yylex_token: end at WS
1784822758.333155 yylex_token: %%
1784822758.333156 cmd_parse_build_commands 0:0: bind
1784822758.333156 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333157 cmd_parse_build_commands 0:2: F
1784822758.333158 cmd_parse_build_commands 0:3 0:0: command-prompt
1784822758.333159 cmd_parse_build_commands 0:3 0:1: -1p(jump backward)
1784822758.333159 cmd_parse_build_commands 0:3 0:2 0:0: send
1784822758.333160 cmd_parse_build_commands 0:3 0:2 0:1: -X
1784822758.333161 cmd_parse_build_commands 0:3 0:2 0:2: jump-backward
1784822758.333161 cmd_parse_build_commands 0:3 0:2 0:3: %%
1784822758.333162 cmd_parse_build_commands 0:0: command-prompt
1784822758.333163 cmd_parse_build_commands 0:1: -1p(jump backward)
1784822758.333164 cmd_parse_build_commands 0:2 0:0: send
1784822758.333164 cmd_parse_build_commands 0:2 0:1: -X
1784822758.333165 cmd_parse_build_commands 0:2 0:2: jump-backward
1784822758.333165 cmd_parse_build_commands 0:2 0:3: %%
1784822758.333166 cmd_parse_build_commands 0:0: send
1784822758.333168 cmd_parse_build_commands 0:1: -X
1784822758.333168 cmd_parse_build_commands 0:2: jump-backward
1784822758.333169 cmd_parse_build_commands 0:3: %%
1784822758.333170 args_parse_flags: next -X
1784822758.333171 args_parse_flags: -X
1784822758.333171 args_parse_flags: next jump-backward
1784822758.333172 args_parse: flags end at 2 of 4
1784822758.333172 args_parse: 2 = jump-backward (type STRING)
1784822758.333173 args_parse: 3 = %% (type STRING)
1784822758.333174 cmd_parse_build_commands: send-keys -X jump-backward "%%"
1784822758.333175 args_parse_flags: next -1p(jump backward)
1784822758.333175 args_parse_flags: -1
1784822758.333176 args_parse_flag_argument: -p = (jump backward)
1784822758.333177 args_parse: flags end at 2 of 3
1784822758.333178 args_parse: 2 = send-keys -X jump-backward "%%" (type COMMANDS)
1784822758.333180 cmd_parse_build_commands: command-prompt -1 -p "(jump backward)" { send-keys -X jump-backward "%%" }
1784822758.333181 args_parse_flags: next -Tcopy-mode-vi
1784822758.333181 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333182 args_parse_flags: next F
1784822758.333182 args_parse: flags end at 2 of 4
1784822758.333183 args_parse: 2 = F (type STRING)
1784822758.333185 args_parse: 3 = command-prompt -1 -p "(jump backward)" { send-keys -X jump-backward "%%" } (type COMMANDS)
1784822758.333188 cmd_parse_build_commands: bind-key -T copy-mode-vi F { command-prompt -1 -p "(jump backward)" { send-keys -X jump-backward "%%" } }
1784822758.333189 cmdq_get_command: [bind-key/0x5ec0755f6fb0] group 2264
1784822758.333190 cmdq_append <global>: [bind-key/0x5ec0755f6fb0]
1784822758.333190 yylex_token: end at WS
1784822758.333191 yylex_token: bind
1784822758.333191 yylex_token: end at WS
1784822758.333192 yylex_token: -Tcopy-mode-vi
1784822758.333192 yylex_token: end at WS
1784822758.333193 yylex_token: G
1784822758.333194 yylex_token: end at WS
1784822758.333194 yylex_token: send
1784822758.333195 yylex_token: end at WS
1784822758.333195 yylex_token: -X
1784822758.333196 yylex_token: end at WS
1784822758.333196 yylex_token: history-bottom
1784822758.333197 cmd_parse_build_commands 0:0: bind
1784822758.333198 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333198 cmd_parse_build_commands 0:2: G
1784822758.333199 cmd_parse_build_commands 0:3 0:0: send
1784822758.333200 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333200 cmd_parse_build_commands 0:3 0:2: history-bottom
1784822758.333201 cmd_parse_build_commands 0:0: send
1784822758.333202 cmd_parse_build_commands 0:1: -X
1784822758.333202 cmd_parse_build_commands 0:2: history-bottom
1784822758.333203 args_parse_flags: next -X
1784822758.333204 args_parse_flags: -X
1784822758.333204 args_parse_flags: next history-bottom
1784822758.333205 args_parse: flags end at 2 of 3
1784822758.333206 args_parse: 2 = history-bottom (type STRING)
1784822758.333207 cmd_parse_build_commands: send-keys -X history-bottom
1784822758.333207 args_parse_flags: next -Tcopy-mode-vi
1784822758.333208 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333209 args_parse_flags: next G
1784822758.333209 args_parse: flags end at 2 of 4
1784822758.333210 args_parse: 2 = G (type STRING)
1784822758.333211 args_parse: 3 = send-keys -X history-bottom (type COMMANDS)
1784822758.333213 cmd_parse_build_commands: bind-key -T copy-mode-vi G { send-keys -X history-bottom }
1784822758.333213 cmdq_get_command: [bind-key/0x5ec0755f6a60] group 2276
1784822758.333214 cmdq_append <global>: [bind-key/0x5ec0755f6a60]
1784822758.333216 yylex_token: end at WS
1784822758.333216 yylex_token: bind
1784822758.333217 yylex_token: end at WS
1784822758.333217 yylex_token: -Tcopy-mode-vi
1784822758.333218 yylex_token: end at WS
1784822758.333218 yylex_token: H
1784822758.333219 yylex_token: end at WS
1784822758.333219 yylex_token: send
1784822758.333220 yylex_token: end at WS
1784822758.333220 yylex_token: -X
1784822758.333221 yylex_token: end at WS
1784822758.333222 yylex_token: top-line
1784822758.333222 cmd_parse_build_commands 0:0: bind
1784822758.333223 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333225 cmd_parse_build_commands 0:2: H
1784822758.333225 cmd_parse_build_commands 0:3 0:0: send
1784822758.333226 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333227 cmd_parse_build_commands 0:3 0:2: top-line
1784822758.333227 cmd_parse_build_commands 0:0: send
1784822758.333228 cmd_parse_build_commands 0:1: -X
1784822758.333228 cmd_parse_build_commands 0:2: top-line
1784822758.333229 args_parse_flags: next -X
1784822758.333230 args_parse_flags: -X
1784822758.333230 args_parse_flags: next top-line
1784822758.333231 args_parse: flags end at 2 of 3
1784822758.333232 args_parse: 2 = top-line (type STRING)
1784822758.333233 cmd_parse_build_commands: send-keys -X top-line
1784822758.333233 args_parse_flags: next -Tcopy-mode-vi
1784822758.333234 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333235 args_parse_flags: next H
1784822758.333235 args_parse: flags end at 2 of 4
1784822758.333236 args_parse: 2 = H (type STRING)
1784822758.333237 args_parse: 3 = send-keys -X top-line (type COMMANDS)
1784822758.333238 cmd_parse_build_commands: bind-key -T copy-mode-vi H { send-keys -X top-line }
1784822758.333240 cmdq_get_command: [bind-key/0x5ec0755f7790] group 2284
1784822758.333240 cmdq_append <global>: [bind-key/0x5ec0755f7790]
1784822758.333241 yylex_token: end at WS
1784822758.333241 yylex_token: bind
1784822758.333242 yylex_token: end at WS
1784822758.333243 yylex_token: -Tcopy-mode-vi
1784822758.333243 yylex_token: end at WS
1784822758.333244 yylex_token: J
1784822758.333244 yylex_token: end at WS
1784822758.333245 yylex_token: send
1784822758.333245 yylex_token: end at WS
1784822758.333246 yylex_token: -X
1784822758.333246 yylex_token: end at WS
1784822758.333247 yylex_token: scroll-down
1784822758.333248 cmd_parse_build_commands 0:0: bind
1784822758.333248 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333249 cmd_parse_build_commands 0:2: J
1784822758.333250 cmd_parse_build_commands 0:3 0:0: send
1784822758.333250 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333251 cmd_parse_build_commands 0:3 0:2: scroll-down
1784822758.333251 cmd_parse_build_commands 0:0: send
1784822758.333252 cmd_parse_build_commands 0:1: -X
1784822758.333253 cmd_parse_build_commands 0:2: scroll-down
1784822758.333254 args_parse_flags: next -X
1784822758.333254 args_parse_flags: -X
1784822758.333255 args_parse_flags: next scroll-down
1784822758.333255 args_parse: flags end at 2 of 3
1784822758.333256 args_parse: 2 = scroll-down (type STRING)
1784822758.333257 cmd_parse_build_commands: send-keys -X scroll-down
1784822758.333258 args_parse_flags: next -Tcopy-mode-vi
1784822758.333258 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333259 args_parse_flags: next J
1784822758.333259 args_parse: flags end at 2 of 4
1784822758.333260 args_parse: 2 = J (type STRING)
1784822758.333261 args_parse: 3 = send-keys -X scroll-down (type COMMANDS)
1784822758.333263 cmd_parse_build_commands: bind-key -T copy-mode-vi J { send-keys -X scroll-down }
1784822758.333264 cmdq_get_command: [bind-key/0x5ec0755f7e00] group 2292
1784822758.333264 cmdq_append <global>: [bind-key/0x5ec0755f7e00]
1784822758.333265 yylex_token: end at WS
1784822758.333266 yylex_token: bind
1784822758.333266 yylex_token: end at WS
1784822758.333267 yylex_token: -Tcopy-mode-vi
1784822758.333267 yylex_token: end at WS
1784822758.333268 yylex_token: K
1784822758.333268 yylex_token: end at WS
1784822758.333269 yylex_token: send
1784822758.333269 yylex_token: end at WS
1784822758.333270 yylex_token: -X
1784822758.333270 yylex_token: end at WS
1784822758.333271 yylex_token: scroll-up
1784822758.333272 cmd_parse_build_commands 0:0: bind
1784822758.333272 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333273 cmd_parse_build_commands 0:2: K
1784822758.333274 cmd_parse_build_commands 0:3 0:0: send
1784822758.333274 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333275 cmd_parse_build_commands 0:3 0:2: scroll-up
1784822758.333276 cmd_parse_build_commands 0:0: send
1784822758.333276 cmd_parse_build_commands 0:1: -X
1784822758.333277 cmd_parse_build_commands 0:2: scroll-up
1784822758.333279 args_parse_flags: next -X
1784822758.333279 args_parse_flags: -X
1784822758.333280 args_parse_flags: next scroll-up
1784822758.333280 args_parse: flags end at 2 of 3
1784822758.333281 args_parse: 2 = scroll-up (type STRING)
1784822758.333282 cmd_parse_build_commands: send-keys -X scroll-up
1784822758.333283 args_parse_flags: next -Tcopy-mode-vi
1784822758.333283 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333284 args_parse_flags: next K
1784822758.333285 args_parse: flags end at 2 of 4
1784822758.333285 args_parse: 2 = K (type STRING)
1784822758.333286 args_parse: 3 = send-keys -X scroll-up (type COMMANDS)
1784822758.333288 cmd_parse_build_commands: bind-key -T copy-mode-vi K { send-keys -X scroll-up }
1784822758.333289 cmdq_get_command: [bind-key/0x5ec0755f7bb0] group 2300
1784822758.333289 cmdq_append <global>: [bind-key/0x5ec0755f7bb0]
1784822758.333291 yylex_token: end at WS
1784822758.333291 yylex_token: bind
1784822758.333292 yylex_token: end at WS
1784822758.333293 yylex_token: -Tcopy-mode-vi
1784822758.333293 yylex_token: end at WS
1784822758.333294 yylex_token: L
1784822758.333294 yylex_token: end at WS
1784822758.333295 yylex_token: send
1784822758.333295 yylex_token: end at WS
1784822758.333296 yylex_token: -X
1784822758.333296 yylex_token: end at WS
1784822758.333297 yylex_token: bottom-line
1784822758.333298 cmd_parse_build_commands 0:0: bind
1784822758.333298 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333299 cmd_parse_build_commands 0:2: L
1784822758.333300 cmd_parse_build_commands 0:3 0:0: send
1784822758.333300 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333301 cmd_parse_build_commands 0:3 0:2: bottom-line
1784822758.333301 cmd_parse_build_commands 0:0: send
1784822758.333302 cmd_parse_build_commands 0:1: -X
1784822758.333303 cmd_parse_build_commands 0:2: bottom-line
1784822758.333304 args_parse_flags: next -X
1784822758.333304 args_parse_flags: -X
1784822758.333305 args_parse_flags: next bottom-line
1784822758.333305 args_parse: flags end at 2 of 3
1784822758.333306 args_parse: 2 = bottom-line (type STRING)
1784822758.333307 cmd_parse_build_commands: send-keys -X bottom-line
1784822758.333308 args_parse_flags: next -Tcopy-mode-vi
1784822758.333308 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333309 args_parse_flags: next L
1784822758.333309 args_parse: flags end at 2 of 4
1784822758.333310 args_parse: 2 = L (type STRING)
1784822758.333311 args_parse: 3 = send-keys -X bottom-line (type COMMANDS)
1784822758.333312 cmd_parse_build_commands: bind-key -T copy-mode-vi L { send-keys -X bottom-line }
1784822758.333313 cmdq_get_command: [bind-key/0x5ec0755f87c0] group 2308
1784822758.333314 cmdq_append <global>: [bind-key/0x5ec0755f87c0]
1784822758.333315 yylex_token: end at WS
1784822758.333315 yylex_token: bind
1784822758.333316 yylex_token: end at WS
1784822758.333317 yylex_token: -Tcopy-mode-vi
1784822758.333317 yylex_token: end at WS
1784822758.333318 yylex_token: M
1784822758.333318 yylex_token: end at WS
1784822758.333319 yylex_token: send
1784822758.333319 yylex_token: end at WS
1784822758.333320 yylex_token: -X
1784822758.333320 yylex_token: end at WS
1784822758.333321 yylex_token: middle-line
1784822758.333322 cmd_parse_build_commands 0:0: bind
1784822758.333322 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333323 cmd_parse_build_commands 0:2: M
1784822758.333323 cmd_parse_build_commands 0:3 0:0: send
1784822758.333324 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333325 cmd_parse_build_commands 0:3 0:2: middle-line
1784822758.333325 cmd_parse_build_commands 0:0: send
1784822758.333326 cmd_parse_build_commands 0:1: -X
1784822758.333327 cmd_parse_build_commands 0:2: middle-line
1784822758.333328 args_parse_flags: next -X
1784822758.333328 args_parse_flags: -X
1784822758.333329 args_parse_flags: next middle-line
1784822758.333329 args_parse: flags end at 2 of 3
1784822758.333330 args_parse: 2 = middle-line (type STRING)
1784822758.333331 cmd_parse_build_commands: send-keys -X middle-line
1784822758.333332 args_parse_flags: next -Tcopy-mode-vi
1784822758.333333 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333334 args_parse_flags: next M
1784822758.333334 args_parse: flags end at 2 of 4
1784822758.333335 args_parse: 2 = M (type STRING)
1784822758.333336 args_parse: 3 = send-keys -X middle-line (type COMMANDS)
1784822758.333337 cmd_parse_build_commands: bind-key -T copy-mode-vi M { send-keys -X middle-line }
1784822758.333338 cmdq_get_command: [bind-key/0x5ec0755f8c50] group 2316
1784822758.333339 cmdq_append <global>: [bind-key/0x5ec0755f8c50]
1784822758.333340 yylex_token: end at WS
1784822758.333340 yylex_token: bind
1784822758.333341 yylex_token: end at WS
1784822758.333342 yylex_token: -Tcopy-mode-vi
1784822758.333342 yylex_token: end at WS
1784822758.333343 yylex_token: N
1784822758.333343 yylex_token: end at WS
1784822758.333344 yylex_token: send
1784822758.333344 yylex_token: end at WS
1784822758.333345 yylex_token: -X
1784822758.333345 yylex_token: end at WS
1784822758.333346 yylex_token: search-reverse
1784822758.333347 cmd_parse_build_commands 0:0: bind
1784822758.333347 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333348 cmd_parse_build_commands 0:2: N
1784822758.333349 cmd_parse_build_commands 0:3 0:0: send
1784822758.333349 cmd_parse_build_commands 0:3 0:1: -X
1784822758.333350 cmd_parse_build_commands 0:3 0:2: search-reverse
1784822758.333351 cmd_parse_build_commands 0:0: send
1784822758.333351 cmd_parse_build_commands 0:1: -X
1784822758.333352 cmd_parse_build_commands 0:2: search-reverse
1784822758.333353 args_parse_flags: next -X
1784822758.333353 args_parse_flags: -X
1784822758.333354 args_parse_flags: next search-reverse
1784822758.333354 args_parse: flags end at 2 of 3
1784822758.333355 args_parse: 2 = search-reverse (type STRING)
1784822758.333356 cmd_parse_build_commands: send-keys -X search-reverse
1784822758.333357 args_parse_flags: next -Tcopy-mode-vi
1784822758.333357 args_parse_flag_argument: -T = copy-mode-vi
1784822758.333358 args_parse_flags: next N
1784822758.333359 args_parse: flags end at 2 of 4
1784822758.333359 args_parse: 2 = N (type STRING)
1784822758.333360 args_parse: 3 = send-keys -X search-reverse (type COMMANDS)
1784822758.333362 cmd_parse_build_commands: bind-key -T copy-mode-vi N { send-keys -X search-reverse }
1784822758.333363 cmdq_get_command: [bind-key/0x5ec0755f8d80] group 2324
1784822758.333364 cmdq_append <global>: [bind-key/0x5ec0755f8d80]
1784822758.333365 yylex_token: end at WS
1784822758.333366 yylex_token: bind
1784822758.333366 yylex_token: end at WS
1784822758.333367 yylex_token: -Tcopy-mode-vi
1784822758.333367 yylex_token: end at WS
1784822758.333368 yylex_token: P
1784822758.333368 yylex_token: end at WS
1784822758.333369 yylex_token: send
1784822758.333370 yylex_token: end at WS
1784822758.333370 yylex_token: -X
1784822758.333371 yylex_token: end at WS
1784822758.333371 yylex_token: toggle-position
1784822758.333372 cmd_parse_build_commands 0:0: bind
1784822758.333373 cmd_parse_build_commands 0:1: -Tcopy-mode-vi
1784822758.333373 cmd_parse_build_commands 0:2: P
1784822758.333374 cmd_parse_build_commands 0:3 0:0: send
1784822758.333375 cmd_parse_build_commands 0:3 0:1: -X
